date,day_of_week,dow_index,weather,item,units_made,units_sold,units_waste,unit_price,unit_cost,revenue,waste_cost
2024-01-01,Monday,0,sunny,croissant,26,24,2,3.5,1.2,84.0,2.4
2024-01-01,Monday,0,sunny,muffin,22,19,3,2.75,0.9,52.25,2.7
2024-01-01,Monday,0,sunny,sourdough,13,11,2,8.0,2.5,88.0,5.0
2024-01-01,Monday,0,sunny,baguette,13,12,1,4.0,1.3,48.0,1.3
2024-01-01,Monday,0,sunny,cookie,32,30,2,1.5,0.4,45.0,0.8
2024-01-02,Tuesday,1,sunny,croissant,29,27,2,3.5,1.2,94.5,2.4
2024-01-02,Tuesday,1,sunny,muffin,28,25,3,2.75,0.9,68.75,2.7
2024-01-02,Tuesday,1,sunny,sourdough,11,10,1,8.0,2.5,80.0,2.5
2024-01-02,Tuesday,1,sunny,baguette,17,17,0,4.0,1.3,68.0,0.0
2024-01-02,Tuesday,1,sunny,cookie,49,43,6,1.5,0.4,64.5,2.4
2024-01-03,Wednesday,2,sunny,croissant,35,30,5,3.5,1.2,105.0,6.0
2024-01-03,Wednesday,2,sunny,muffin,25,24,1,2.75,0.9,66.0,0.9
2024-01-03,Wednesday,2,sunny,sourdough,12,11,1,8.0,2.5,88.0,2.5
2024-01-03,Wednesday,2,sunny,baguette,19,17,2,4.0,1.3,68.0,2.6
2024-01-03,Wednesday,2,sunny,cookie,50,45,5,1.5,0.4,67.5,2.0
2024-01-04,Thursday,3,sunny,croissant,38,34,4,3.5,1.2,119.0,4.8
2024-01-04,Thursday,3,sunny,muffin,33,29,4,2.75,0.9,79.75,3.6
2024-01-04,Thursday,3,sunny,sourdough,15,14,1,8.0,2.5,112.0,2.5
2024-01-04,Thursday,3,sunny,baguette,20,19,1,4.0,1.3,76.0,1.3
2024-01-04,Thursday,3,sunny,cookie,44,41,3,1.5,0.4,61.5,1.2
2024-01-05,Friday,4,rainy,croissant,42,40,2,3.5,1.2,140.0,2.4
2024-01-05,Friday,4,rainy,muffin,37,33,4,2.75,0.9,90.75,3.6
2024-01-05,Friday,4,rainy,sourdough,13,12,1,8.0,2.5,96.0,2.5
2024-01-05,Friday,4,rainy,baguette,18,17,1,4.0,1.3,68.0,1.3
2024-01-05,Friday,4,rainy,cookie,74,65,9,1.5,0.4,97.5,3.6
2024-01-06,Saturday,5,sunny,croissant,78,68,10,3.5,1.2,238.0,12.0
2024-01-06,Saturday,5,sunny,muffin,52,47,5,2.75,0.9,129.25,4.5
2024-01-06,Saturday,5,sunny,sourdough,42,37,5,8.0,2.5,296.0,12.5
2024-01-06,Saturday,5,sunny,baguette,47,41,6,4.0,1.3,164.0,7.8
2024-01-06,Saturday,5,sunny,cookie,103,89,14,1.5,0.4,133.5,5.6
2024-01-07,Sunday,6,rainy,croissant,69,63,6,3.5,1.2,220.5,7.2
2024-01-07,Sunday,6,rainy,muffin,56,52,4,2.75,0.9,143.0,3.6
2024-01-07,Sunday,6,rainy,sourdough,34,29,5,8.0,2.5,232.0,12.5
2024-01-07,Sunday,6,rainy,baguette,36,32,4,4.0,1.3,128.0,5.2
2024-01-07,Sunday,6,rainy,cookie,94,80,14,1.5,0.4,120.0,5.6
2024-01-08,Monday,0,sunny,croissant,28,26,2,3.5,1.2,91.0,2.4
2024-01-08,Monday,0,sunny,muffin,22,21,1,2.75,0.9,57.75,0.9
2024-01-08,Monday,0,sunny,sourdough,11,10,1,8.0,2.5,80.0,2.5
2024-01-08,Monday,0,sunny,baguette,14,13,1,4.0,1.3,52.0,1.3
2024-01-08,Monday,0,sunny,cookie,45,40,5,1.5,0.4,60.0,2.0
2024-01-09,Tuesday,1,rainy,croissant,31,30,1,3.5,1.2,105.0,1.2
2024-01-09,Tuesday,1,rainy,muffin,33,29,4,2.75,0.9,79.75,3.6
2024-01-09,Tuesday,1,rainy,sourdough,10,10,0,8.0,2.5,80.0,0.0
2024-01-09,Tuesday,1,rainy,baguette,16,14,2,4.0,1.3,56.0,2.6
2024-01-09,Tuesday,1,rainy,cookie,55,46,9,1.5,0.4,69.0,3.6
2024-01-10,Wednesday,2,sunny,croissant,33,29,4,3.5,1.2,101.5,4.8
2024-01-10,Wednesday,2,sunny,muffin,29,26,3,2.75,0.9,71.5,2.7
2024-01-10,Wednesday,2,sunny,sourdough,12,11,1,8.0,2.5,88.0,2.5
2024-01-10,Wednesday,2,sunny,baguette,16,15,1,4.0,1.3,60.0,1.3
2024-01-10,Wednesday,2,sunny,cookie,48,41,7,1.5,0.4,61.5,2.8
2024-01-11,Thursday,3,sunny,croissant,37,33,4,3.5,1.2,115.5,4.8
2024-01-11,Thursday,3,sunny,muffin,28,24,4,2.75,0.9,66.0,3.6
2024-01-11,Thursday,3,sunny,sourdough,16,15,1,8.0,2.5,120.0,2.5
2024-01-11,Thursday,3,sunny,baguette,20,18,2,4.0,1.3,72.0,2.6
2024-01-11,Thursday,3,sunny,cookie,46,40,6,1.5,0.4,60.0,2.4
2024-01-12,Friday,4,sunny,croissant,48,43,5,3.5,1.2,150.5,6.0
2024-01-12,Friday,4,sunny,muffin,27,25,2,2.75,0.9,68.75,1.8
2024-01-12,Friday,4,sunny,sourdough,14,12,2,8.0,2.5,96.0,5.0
2024-01-12,Friday,4,sunny,baguette,25,22,3,4.0,1.3,88.0,3.9
2024-01-12,Friday,4,sunny,cookie,49,47,2,1.5,0.4,70.5,0.8
2024-01-13,Saturday,5,sunny,croissant,90,85,5,3.5,1.2,297.5,6.0
2024-01-13,Saturday,5,sunny,muffin,55,52,3,2.75,0.9,143.0,2.7
2024-01-13,Saturday,5,sunny,sourdough,39,34,5,8.0,2.5,272.0,12.5
2024-01-13,Saturday,5,sunny,baguette,39,35,4,4.0,1.3,140.0,5.2
2024-01-13,Saturday,5,sunny,cookie,89,82,7,1.5,0.4,123.0,2.8
2024-01-14,Sunday,6,sunny,croissant,70,65,5,3.5,1.2,227.5,6.0
2024-01-14,Sunday,6,sunny,muffin,54,47,7,2.75,0.9,129.25,6.3
2024-01-14,Sunday,6,sunny,sourdough,28,26,2,8.0,2.5,208.0,5.0
2024-01-14,Sunday,6,sunny,baguette,47,41,6,4.0,1.3,164.0,7.8
2024-01-14,Sunday,6,sunny,cookie,78,70,8,1.5,0.4,105.0,3.2
2024-01-15,Monday,0,rainy,croissant,30,28,2,3.5,1.2,98.0,2.4
2024-01-15,Monday,0,rainy,muffin,27,25,2,2.75,0.9,68.75,1.8
2024-01-15,Monday,0,rainy,sourdough,8,8,0,8.0,2.5,64.0,0.0
2024-01-15,Monday,0,rainy,baguette,14,13,1,4.0,1.3,52.0,1.3
2024-01-15,Monday,0,rainy,cookie,53,45,8,1.5,0.4,67.5,3.2
2024-01-16,Tuesday,1,rainy,croissant,36,32,4,3.5,1.2,112.0,4.8
2024-01-16,Tuesday,1,rainy,muffin,27,26,1,2.75,0.9,71.5,0.9
2024-01-16,Tuesday,1,rainy,sourdough,13,12,1,8.0,2.5,96.0,2.5
2024-01-16,Tuesday,1,rainy,baguette,17,15,2,4.0,1.3,60.0,2.6
2024-01-16,Tuesday,1,rainy,cookie,53,50,3,1.5,0.4,75.0,1.2
2024-01-17,Wednesday,2,rainy,croissant,40,36,4,3.5,1.2,126.0,4.8
2024-01-17,Wednesday,2,rainy,muffin,34,30,4,2.75,0.9,82.5,3.6
2024-01-17,Wednesday,2,rainy,sourdough,14,12,2,8.0,2.5,96.0,5.0
2024-01-17,Wednesday,2,rainy,baguette,15,14,1,4.0,1.3,56.0,1.3
2024-01-17,Wednesday,2,rainy,cookie,54,46,8,1.5,0.4,69.0,3.2
2024-01-18,Thursday,3,rainy,croissant,39,35,4,3.5,1.2,122.5,4.8
2024-01-18,Thursday,3,rainy,muffin,33,31,2,2.75,0.9,85.25,1.8
2024-01-18,Thursday,3,rainy,sourdough,13,11,2,8.0,2.5,88.0,5.0
2024-01-18,Thursday,3,rainy,baguette,18,16,2,4.0,1.3,64.0,2.6
2024-01-18,Thursday,3,rainy,cookie,54,52,2,1.5,0.4,78.0,0.8
2024-01-19,Friday,4,sunny,croissant,52,44,8,3.5,1.2,154.0,9.6
2024-01-19,Friday,4,sunny,muffin,38,33,5,2.75,0.9,90.75,4.5
2024-01-19,Friday,4,sunny,sourdough,14,13,1,8.0,2.5,104.0,2.5
2024-01-19,Friday,4,sunny,baguette,19,18,1,4.0,1.3,72.0,1.3
2024-01-19,Friday,4,sunny,cookie,47,43,4,1.5,0.4,64.5,1.6
2024-01-20,Saturday,5,sunny,croissant,81,70,11,3.5,1.2,245.0,13.2
2024-01-20,Saturday,5,sunny,muffin,56,51,5,2.75,0.9,140.25,4.5
2024-01-20,Saturday,5,sunny,sourdough,43,36,7,8.0,2.5,288.0,17.5
2024-01-20,Saturday,5,sunny,baguette,47,41,6,4.0,1.3,164.0,7.8
2024-01-20,Saturday,5,sunny,cookie,78,72,6,1.5,0.4,108.0,2.4
2024-01-21,Sunday,6,sunny,croissant,76,68,8,3.5,1.2,238.0,9.6
2024-01-21,Sunday,6,sunny,muffin,52,50,2,2.75,0.9,137.5,1.8
2024-01-21,Sunday,6,sunny,sourdough,32,29,3,8.0,2.5,232.0,7.5
2024-01-21,Sunday,6,sunny,baguette,41,39,2,4.0,1.3,156.0,2.6
2024-01-21,Sunday,6,sunny,cookie,86,81,5,1.5,0.4,121.5,2.0
2024-01-22,Monday,0,rainy,croissant,35,31,4,3.5,1.2,108.5,4.8
2024-01-22,Monday,0,rainy,muffin,24,23,1,2.75,0.9,63.25,0.9
2024-01-22,Monday,0,rainy,sourdough,10,10,0,8.0,2.5,80.0,0.0
2024-01-22,Monday,0,rainy,baguette,14,13,1,4.0,1.3,52.0,1.3
2024-01-22,Monday,0,rainy,cookie,44,39,5,1.5,0.4,58.5,2.0
2024-01-23,Tuesday,1,sunny,croissant,38,36,2,3.5,1.2,126.0,2.4
2024-01-23,Tuesday,1,sunny,muffin,27,25,2,2.75,0.9,68.75,1.8
2024-01-23,Tuesday,1,sunny,sourdough,12,11,1,8.0,2.5,88.0,2.5
2024-01-23,Tuesday,1,sunny,baguette,16,15,1,4.0,1.3,60.0,1.3
2024-01-23,Tuesday,1,sunny,cookie,45,43,2,1.5,0.4,64.5,0.8
2024-01-24,Wednesday,2,sunny,croissant,46,39,7,3.5,1.2,136.5,8.4
2024-01-24,Wednesday,2,sunny,muffin,23,22,1,2.75,0.9,60.5,0.9
2024-01-24,Wednesday,2,sunny,sourdough,13,11,2,8.0,2.5,88.0,5.0
2024-01-24,Wednesday,2,sunny,baguette,21,18,3,4.0,1.3,72.0,3.9
2024-01-24,Wednesday,2,sunny,cookie,42,40,2,1.5,0.4,60.0,0.8
2024-01-25,Thursday,3,sunny,croissant,43,38,5,3.5,1.2,133.0,6.0
2024-01-25,Thursday,3,sunny,muffin,34,30,4,2.75,0.9,82.5,3.6
2024-01-25,Thursday,3,sunny,sourdough,12,11,1,8.0,2.5,88.0,2.5
2024-01-25,Thursday,3,sunny,baguette,18,16,2,4.0,1.3,64.0,2.6
2024-01-25,Thursday,3,sunny,cookie,53,50,3,1.5,0.4,75.0,1.2
2024-01-26,Friday,4,rainy,croissant,43,38,5,3.5,1.2,133.0,6.0
2024-01-26,Friday,4,rainy,muffin,37,33,4,2.75,0.9,90.75,3.6
2024-01-26,Friday,4,rainy,sourdough,15,14,1,8.0,2.5,112.0,2.5
2024-01-26,Friday,4,rainy,baguette,20,19,1,4.0,1.3,76.0,1.3
2024-01-26,Friday,4,rainy,cookie,67,57,10,1.5,0.4,85.5,4.0
2024-01-27,Saturday,5,sunny,croissant,73,66,7,3.5,1.2,231.0,8.4
2024-01-27,Saturday,5,sunny,muffin,51,49,2,2.75,0.9,134.75,1.8
2024-01-27,Saturday,5,sunny,sourdough,40,35,5,8.0,2.5,280.0,12.5
2024-01-27,Saturday,5,sunny,baguette,42,37,5,4.0,1.3,148.0,6.5
2024-01-27,Saturday,5,sunny,cookie,91,82,9,1.5,0.4,123.0,3.6
2024-01-28,Sunday,6,rainy,croissant,75,64,11,3.5,1.2,224.0,13.2
2024-01-28,Sunday,6,rainy,muffin,70,62,8,2.75,0.9,170.5,7.2
2024-01-28,Sunday,6,rainy,sourdough,31,28,3,8.0,2.5,224.0,7.5
2024-01-28,Sunday,6,rainy,baguette,32,30,2,4.0,1.3,120.0,2.6
2024-01-28,Sunday,6,rainy,cookie,92,78,14,1.5,0.4,117.0,5.6
2024-01-29,Monday,0,sunny,croissant,36,31,5,3.5,1.2,108.5,6.0
2024-01-29,Monday,0,sunny,muffin,20,19,1,2.75,0.9,52.25,0.9
2024-01-29,Monday,0,sunny,sourdough,10,9,1,8.0,2.5,72.0,2.5
2024-01-29,Monday,0,sunny,baguette,16,15,1,4.0,1.3,60.0,1.3
2024-01-29,Monday,0,sunny,cookie,38,36,2,1.5,0.4,54.0,0.8
2024-01-30,Tuesday,1,sunny,croissant,41,35,6,3.5,1.2,122.5,7.2
2024-01-30,Tuesday,1,sunny,muffin,30,26,4,2.75,0.9,71.5,3.6
2024-01-30,Tuesday,1,sunny,sourdough,11,10,1,8.0,2.5,80.0,2.5
2024-01-30,Tuesday,1,sunny,baguette,17,15,2,4.0,1.3,60.0,2.6
2024-01-30,Tuesday,1,sunny,cookie,50,43,7,1.5,0.4,64.5,2.8
2024-01-31,Wednesday,2,sunny,croissant,36,31,5,3.5,1.2,108.5,6.0
2024-01-31,Wednesday,2,sunny,muffin,25,22,3,2.75,0.9,60.5,2.7
2024-01-31,Wednesday,2,sunny,sourdough,15,14,1,8.0,2.5,112.0,2.5
2024-01-31,Wednesday,2,sunny,baguette,20,18,2,4.0,1.3,72.0,2.6
2024-01-31,Wednesday,2,sunny,cookie,46,40,6,1.5,0.4,60.0,2.4
2024-02-01,Thursday,3,rainy,croissant,35,33,2,3.5,1.2,115.5,2.4
2024-02-01,Thursday,3,rainy,muffin,35,30,5,2.75,0.9,82.5,4.5
2024-02-01,Thursday,3,rainy,sourdough,14,13,1,8.0,2.5,104.0,2.5
2024-02-01,Thursday,3,rainy,baguette,18,17,1,4.0,1.3,68.0,1.3
2024-02-01,Thursday,3,rainy,cookie,66,59,7,1.5,0.4,88.5,2.8
2024-02-02,Friday,4,sunny,croissant,41,35,6,3.5,1.2,122.5,7.2
2024-02-02,Friday,4,sunny,muffin,32,27,5,2.75,0.9,74.25,4.5
2024-02-02,Friday,4,sunny,sourdough,13,13,0,8.0,2.5,104.0,0.0
2024-02-02,Friday,4,sunny,baguette,22,19,3,4.0,1.3,76.0,3.9
2024-02-02,Friday,4,sunny,cookie,53,47,6,1.5,0.4,70.5,2.4
2024-02-03,Saturday,5,sunny,croissant,81,72,9,3.5,1.2,252.0,10.8
2024-02-03,Saturday,5,sunny,muffin,55,48,7,2.75,0.9,132.0,6.3
2024-02-03,Saturday,5,sunny,sourdough,32,27,5,8.0,2.5,216.0,12.5
2024-02-03,Saturday,5,sunny,baguette,46,40,6,4.0,1.3,160.0,7.8
2024-02-03,Saturday,5,sunny,cookie,98,86,12,1.5,0.4,129.0,4.8
2024-02-04,Sunday,6,sunny,croissant,66,58,8,3.5,1.2,203.0,9.6
2024-02-04,Sunday,6,sunny,muffin,48,44,4,2.75,0.9,121.0,3.6
2024-02-04,Sunday,6,sunny,sourdough,35,31,4,8.0,2.5,248.0,10.0
2024-02-04,Sunday,6,sunny,baguette,36,33,3,4.0,1.3,132.0,3.9
2024-02-04,Sunday,6,sunny,cookie,77,70,7,1.5,0.4,105.0,2.8
2024-02-05,Monday,0,sunny,croissant,26,24,2,3.5,1.2,84.0,2.4
2024-02-05,Monday,0,sunny,muffin,26,23,3,2.75,0.9,63.25,2.7
2024-02-05,Monday,0,sunny,sourdough,12,11,1,8.0,2.5,88.0,2.5
2024-02-05,Monday,0,sunny,baguette,14,13,1,4.0,1.3,52.0,1.3
2024-02-05,Monday,0,sunny,cookie,31,29,2,1.5,0.4,43.5,0.8
2024-02-06,Tuesday,1,sunny,croissant,36,32,4,3.5,1.2,112.0,4.8
2024-02-06,Tuesday,1,sunny,muffin,25,23,2,2.75,0.9,63.25,1.8
2024-02-06,Tuesday,1,sunny,sourdough,11,10,1,8.0,2.5,80.0,2.5
2024-02-06,Tuesday,1,sunny,baguette,19,17,2,4.0,1.3,68.0,2.6
2024-02-06,Tuesday,1,sunny,cookie,38,36,2,1.5,0.4,54.0,0.8
2024-02-07,Wednesday,2,sunny,croissant,38,35,3,3.5,1.2,122.5,3.6
2024-02-07,Wednesday,2,sunny,muffin,31,27,4,2.75,0.9,74.25,3.6
2024-02-07,Wednesday,2,sunny,sourdough,14,13,1,8.0,2.5,104.0,2.5
2024-02-07,Wednesday,2,sunny,baguette,15,15,0,4.0,1.3,60.0,0.0
2024-02-07,Wednesday,2,sunny,cookie,43,39,4,1.5,0.4,58.5,1.6
2024-02-08,Thursday,3,sunny,croissant,34,31,3,3.5,1.2,108.5,3.6
2024-02-08,Thursday,3,sunny,muffin,30,28,2,2.75,0.9,77.0,1.8
2024-02-08,Thursday,3,sunny,sourdough,15,14,1,8.0,2.5,112.0,2.5
2024-02-08,Thursday,3,sunny,baguette,18,16,2,4.0,1.3,64.0,2.6
2024-02-08,Thursday,3,sunny,cookie,44,38,6,1.5,0.4,57.0,2.4
